WORD,FREQUENCY
pagar,603
contrato,557
empresa,549
tienda,522
encargado,381
horario,285
cobrar,281
jefe,279
turno,219
compañero,212
sueldo,189
compañera,189
extra,183
jornada,172
dinero,171
descanso,163
empleado,158
euro,154
contratar,149
entrevista,129
semanal,127
laboral,123
puesto,121
vacaciones,121
formación,113
despedir,97
jefa,96
bronca,91
nómina,81
gerente,69
manager,67
convenio,65
dueño,64
festivo,63
finiquito,63
despido,60
camarero,59
fijo,59
baja,54
oficina,52
seguridad,51
salario,50
denunciar,50
pagado,49
librar,48
amenazar,43
renovar,39
ilegal,38
supervisor,36
superior,35
acoso,32
legal,32
explotar,30
explotador,28
mensual,27
amenaza,27
queja,24
sindicato,24
indefinido,24
machista,21
explotación,19
reclamar,19
paro,18
precariedad,16
remunerado,15
abuso,15
cobro,14
nomina,14
maltrato,14
fichar,13
despedido,13
indemnización,13
precario,12
improcedente,10
cláusula,8
